"rowname","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",3.90414368071429,0.606225319485147,2.720279,5.16850725,1.00128533903432,1789.52341825513,2595.9030716224
"Dev_1",-2.09354496817857,0.526162432918141,-3.181606,-1.11264175,1.00107311908549,3609.9617748241,2865.81063262178
