"rowname","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-2.57172970019107,0.751624328805067,-4.089181,-1.1368165,1.00196858591005,2138.05174650935,3042.26857891346
"Dev_1",-0.928802693987857,0.535929040183562,-2.06501075,0.0341927124999997,1.00145040374999,2236.59420733782,2938.16372328601
"LHSCategoryDetrivore",1.26245350632404,1.07849316831084,-0.8080155,3.380374,1.00232857275036,2281.54399020654,2863.72099533842
"LHSCategoryHerbivore",2.08604905299821,0.778855848337045,0.58584275,3.5904735,1.00350106907574,2138.75688340945,3178.32692989637
"LHSCategoryOmnivore",1.04284376868768,0.898878385513598,-0.759500675,2.853855,1.00185871700883,2175.06916200585,2903.11152736168
"LarvalHabitatCategoryBelowGround",1.19589653806107,0.890475088079246,-0.588458699999999,2.956981,1.00352360228307,2183.69624552407,2812.19467249036
"LarvalHabitatCategoryFreshwater",4.45097435892857,1.01621581962906,2.4353945,6.45150275,1.00110650415964,2202.52544063767,3189.79286674167
"LarvalHabitatCategoryHostOrganisms",0.864562823629464,0.758605967061789,-0.65812475,2.3501265,1.0009211349948,2289.46419328072,3032.00612881464
"BodySize",-0.883876075032321,0.324766509681251,-1.53667475,-0.26525165,1.00071518847487,2818.99493414679,3348.68258669355
"temp_niche",0.0211195113742857,0.298262093077159,-0.5799853,0.605477349999999,1.00264947162428,2447.67540331468,2766.10377959585
"Dev_1:LHSCategoryDetrivore",-0.712754674455518,0.722108598180719,-2.19528225,0.6874937,1.00029593850562,3203.90005458542,3324.23257421894
"Dev_1:LHSCategoryHerbivore",0.00464763514967857,0.521230851021313,-0.991776325,1.070402,1.00017275294653,2726.79959813304,3503.38527713452
"Dev_1:LHSCategoryOmnivore",-0.475562082407732,0.559208241526709,-1.573061,0.639684224999999,0.999952535623972,3115.44263233964,3668.62205424019
"Dev_1:LarvalHabitatCategoryBelowGround",0.139195609121716,0.531740281461287,-0.898790525,1.21259075,1.00078130621796,3212.55211656207,3721.57065061749
"Dev_1:LarvalHabitatCategoryFreshwater",0.739534335206964,0.679022911149769,-0.55595915,2.16642325,1.00089212264924,2515.06900541287,3128.47551650918
"Dev_1:LarvalHabitatCategoryHostOrganisms",0.708590528821411,0.505429267263319,-0.2368286,1.7589345,1.00058623246905,2697.72377828614,2774.5211305223
"Dev_1:BodySize",-0.167559263784241,0.213806970565004,-0.61295665,0.2334132,1.00101723224845,3206.57550423835,3758.53398310677
"Dev_1:temp_niche",-0.0541514515730179,0.184278808046253,-0.4281326,0.307918375,1.0003148452588,3976.33384809295,4000.57774999563
"sd(Intercept)",1.59580207857143,0.247580135461185,1.17345075,2.1448345,1.00031432390396,1862.69849052525,3344.99318573304
"sd(Dev_1)",0.792677474107143,0.219342468906222,0.4083493,1.28030725,1.00053005224076,1605.24512326946,2573.35613760096
